SYMBOL,DATA_DATE,CMP,BIAS,NEXT_DAY_SCORE,SWING_SCORE,TECH_SCORE,TECH_SCORE_100,ALIGNED,CONFIDENCE,RSI14,ATR14,ATR_PCT,ATR_PERCENTILE,EMA20,EMA50,EMA200,MACD_HIST,MACD_DELTA,VOL_RATIO20,VOL_PERCENTILE,VWAP20,VWAP_DIST_PCT,DAY_RANGE_PCT,RANGE20_POS,RET1,RET5,RET10,RET20,GAP_PCT,DELIVERY_PCT,PREV_HIGH,PREV_LOW,PREV_CLOSE,WEEK_HIGH,WEEK_LOW,RS_SCORE,FUT_OI_CHG_PCT,FUT_BUILDUP,PCR_OI,FO_SCORE,UP_DAY_PCT_3Y,DOWN_DAY_PCT_3Y,AVG_UP_RETURN_3Y,AVG_DOWN_RETURN_3Y,AVG_GAP_PCT_3Y,UP_GAP_FREQ_3Y,DOWN_GAP_FREQ_3Y,AVG_UP_GAP_3Y,AVG_DOWN_GAP_3Y,AVG_GAP_FILL_PCT_3Y,MAX_UP_STREAK_3Y,MAX_DOWN_STREAK_3Y,SIMILAR_SETUPS,HIST_1D_WIN_PCT,HIST_1D_AVG_PCT,HIST_3D_WIN_PCT,HIST_3D_AVG_PCT,HIST_5D_WIN_PCT,HIST_5D_AVG_PCT,HIST_10D_WIN_PCT,HIST_10D_AVG_PCT,HIST_15D_WIN_PCT,HIST_15D_AVG_PCT,HIST_SETUP_QUALITY,HISTORICAL_SCORE,HISTORICAL_QUALITY,PRIMARY_DRIVER,CONFLICTING_SIGNAL,EXPECTED_LOW_PCT,EXPECTED_HIGH_PCT,EXPECTED_LOW_PRICE,EXPECTED_HIGH_PRICE,INVALIDATION,LEVERAGE_RISK,AVG_VALUE20,INTRADAY_STATUS,INTRADAY_BIAS,INTRADAY_SCORE,ML_NEXTDAY_SCORE,ML_SWING_SCORE,ML_NEXTDAY_RANK,ML_SWING_RANK,NEXT_DAY_ML_BLEND,SWING_ML_BLEND,ML_DIRECTION,ML_AGREES_WITH_BIAS,ML_STATUS,ML_TRAIN_FROM,ML_TRAIN_TO,ML_VALID_FROM,ML_VALID_TO,ML_NEXT_RANK_IC,ML_NEXT_PRECISION_AT_30,ML_NEXT_TOP30_AVG_RETURN,ML_SWING_RANK_IC,ML_SWING_PRECISION_AT_30,ML_SWING_TOP30_AVG_RETURN,ML_FEATURE_COUNT
ORIENTCEM,2026-09-01,128.16,Bearish,22.35,20.66,-6,20,6/10,Medium,37.99,3.15,2.46,11.67,132.25,134.44,155.95,-0.2359,-0.1206,1.08,70.0,133.0,-3.64,4.96,0.045,-1.07,-2.04,-1.82,-6.91,0.0,32.32,131.37,129.32,129.55,135.1,128.8,-2.42,,NO_DERIVATIVES,,0,45.26,50.13,1.8,-1.65,0.2,12.24,6.97,2.09,-2.18,82.35,7,7,12,58.33,0.3,41.67,0.18,8.33,-3.32,33.33,-4.25,50.0,-3.58,NEGATIVE,9.58,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-3.69,-0.86,123.43,127.06,133.0,MODERATE,29873032.0,NOT_AVAILABLE,NOT_AVAILABLE,,29.39086294416244,11.353637901861251,2025.0,2603.0,24.46225888324873,17.868091370558375,Bearish,True,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
DBCORP,2026-09-01,197.76,Bearish,22.29,17.04,-6,20,6/10,Medium,29.08,4.69,2.37,4.17,205.74,206.92,220.39,-1.3318,-0.1564,0.49,44.17,208.23,-5.03,1.87,0.084,-0.72,-3.73,-5.76,-5.91,0.34,58.56,203.28,198.17,199.2,208.33,198.17,-1.24,,NO_DERIVATIVES,,0,46.84,48.82,1.83,-1.76,0.2,17.37,11.45,1.83,-1.86,88.3,9,7,17,35.29,-1.27,29.41,-1.03,23.53,-2.06,17.65,-4.03,23.53,-6.37,NEGATIVE,9.41,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-3.56,-0.83,190.72,196.12,208.23,MODERATE,16748620.0,NOT_AVAILABLE,NOT_AVAILABLE,,50.38917089678511,33.02876480541455,1423.0,1947.0,30.71975126903553,21.836629441624364,Neutral-Range,False,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
ALICON,2026-09-01,659.65,Bearish,22.24,17.49,-7,15,7/10,Medium,38.15,29.53,4.48,60.0,701.32,690.53,721.2,-11.5412,-0.756,0.27,2.5,735.7,-10.34,2.94,0.059,-0.86,-5.47,-12.85,-5.07,-0.06,60.4,687.75,658.05,665.4,727.25,658.05,-0.11,,NO_DERIVATIVES,,0,42.5,53.29,2.05,-1.64,0.18,13.42,7.11,1.92,-2.11,85.43,6,8,9,22.22,-0.36,11.11,-2.34,22.22,-2.7,33.33,-1.99,11.11,-2.5,NEGATIVE,15.68,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-6.72,-1.57,615.35,649.31,735.7,HIGH,49609782.0,NOT_AVAILABLE,NOT_AVAILABLE,,60.42301184433164,79.62774957698817,1170.0,603.0,33.69490355329949,36.131324873096446,Bullish,False,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
FUSION,2026-09-01,194.65,Bearish,21.92,16.23,-6,20,7/10,High,43.19,9.29,4.77,26.67,201.74,202.39,190.42,-0.1742,-0.2427,0.36,9.17,204.68,-4.9,3.73,0.185,-2.83,-2.7,2.52,-6.83,0.62,61.33,202.8,194.41,200.32,206.84,194.3,-4.49,,NO_DERIVATIVES,,0,44.21,51.32,2.15,-2.06,0.23,20.79,8.42,1.75,-2.75,85.82,7,9,21,33.33,-0.56,38.1,-1.61,28.57,-2.39,9.52,-5.26,14.29,-9.08,NEGATIVE,8.33,NEGATIVE,Liquidity,"Trend, Momentum, Structure",-7.16,-1.67,180.72,191.4,204.68,HIGH,170983578.0,NOT_AVAILABLE,NOT_AVAILABLE,,50.38917089678511,38.49407783417936,1423.0,1812.0,30.460751269035534,22.909223350253804,Neutral-Range,False,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
PFS,2026-09-01,26.96,Bearish,21.84,16.55,-6,20,6/10,Medium,28.35,0.67,2.47,16.67,27.92,28.81,31.0,-0.065,-0.0003,0.75,43.33,28.21,-4.45,2.04,0.03,-0.22,-3.65,-4.4,-3.95,0.04,64.62,27.85,26.99,27.02,28.2,26.88,-5.05,,NO_DERIVATIVES,,0,44.47,49.87,2.2,-1.88,0.33,17.5,8.03,2.18,-2.23,82.03,7,6,8,50.0,-0.64,37.5,-0.54,25.0,-2.08,12.5,-4.94,25.0,-3.35,NEGATIVE,8.12,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-3.71,-0.87,25.96,26.73,28.21,MODERATE,14226060.0,NOT_AVAILABLE,NOT_AVAILABLE,,54.29780033840947,30.270727580372252,1299.0,2017.0,31.577340101522843,20.666218274111674,Neutral-Range,False,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
ONEPOINT,2026-09-01,54.74,Bearish,21.73,18.01,-5,25,5/10,Medium,38.61,1.74,3.19,0.83,56.14,56.48,54.54,-0.3076,0.0164,0.28,7.5,58.24,-6.01,1.64,0.098,-0.07,-0.91,-2.68,-3.85,-0.24,18.0,55.24,53.9,54.78,56.0,53.9,-0.31,,NO_DERIVATIVES,,0,44.21,51.05,2.47,-1.89,0.33,25.13,12.11,2.1,-2.33,84.89,7,8,11,27.27,-0.76,0.0,-1.73,9.09,-2.2,9.09,-3.53,27.27,-1.97,NEGATIVE,1.36,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-4.78,-1.11,52.12,54.13,58.24,HIGH,69409113.0,NOT_AVAILABLE,NOT_AVAILABLE,,27.20812182741117,10.304568527918782,2152.0,2640.0,23.37343654822335,15.698370558375636,Bearish,True,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
MUFTI,2026-09-01,72.81,Bearish,21.45,14.49,-7,15,7/10,Medium,30.98,2.98,4.09,38.33,78.26,81.18,90.76,-0.3447,-0.1314,0.71,55.0,80.21,-9.22,6.69,0.143,-2.15,-4.62,-6.99,-11.46,0.58,57.66,75.93,73.98,74.41,79.17,73.98,-9.54,,NO_DERIVATIVES,,0,39.48,56.6,2.22,-1.85,0.28,17.42,7.4,1.9,-2.41,84.41,7,8,19,26.32,-1.1,31.58,-0.88,26.32,-1.87,21.05,-2.67,36.84,-3.9,NEGATIVE,13.42,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-6.14,-1.43,68.34,71.77,80.21,HIGH,10842795.0,NOT_AVAILABLE,NOT_AVAILABLE,,71.28595600676819,72.14890016920474,847.0,824.0,36.40078680203045,31.78767005076142,Bullish,False,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
PSPPROJECT,2026-09-01,874.5,Bearish,21.33,21.0,-6,20,6/10,Medium,33.24,30.79,3.52,0.83,921.55,938.9,859.2,-3.0977,-0.1987,0.83,62.5,926.92,-5.66,3.3,0.074,-0.25,-3.81,-7.2,-6.44,0.34,37.32,898.8,873.6,876.7,921.0,873.6,-8.74,,NO_DERIVATIVES,,0,45.66,49.61,1.71,-1.5,0.19,10.39,6.05,1.93,-2.28,81.79,8,8,12,33.33,-0.81,16.67,-2.49,16.67,-4.92,16.67,-5.71,41.67,-3.63,NEGATIVE,6.67,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-5.28,-1.23,828.32,863.72,926.92,HIGH,45792861.0,NOT_AVAILABLE,NOT_AVAILABLE,,54.29780033840947,60.676818950930624,1299.0,1161.0,31.22034010152284,32.90304568527918,Neutral-Range,False,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
PVSL,2026-09-01,103.7,Bearish,21.12,14.79,-7,15,7/10,Medium,42.9,5.08,4.9,51.67,108.21,105.77,108.34,-1.6529,0.0336,0.32,15.0,114.98,-9.81,3.8,0.152,-1.26,-3.96,-12.3,-4.92,-1.92,59.45,106.19,100.05,105.02,110.59,100.05,2.77,,NO_DERIVATIVES,,0,43.49,52.22,1.94,-1.85,0.14,21.27,16.51,2.02,-2.04,92.78,10,11,10,40.0,-0.27,30.0,-1.37,30.0,-2.5,20.0,-2.56,0.0,-6.33,NEGATIVE,12.5,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-7.35,-1.72,96.08,101.92,114.98,HIGH,7874661.0,NOT_AVAILABLE,NOT_AVAILABLE,,58.4263959390863,48.44331641285956,1229.0,1524.0,32.311918781725886,24.885994923857865,Bullish,False,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
DAMCAPITAL,2026-09-01,141.45,Bearish,20.66,16.21,-7,15,7/10,Medium,35.82,4.71,3.33,15.83,148.01,150.61,170.37,-0.1974,-0.3007,0.71,55.83,148.22,-4.57,4.35,0.056,-2.62,-5.31,-3.81,-7.63,-0.18,55.66,147.04,144.23,145.26,155.24,144.23,-4.41,,NO_DERIVATIVES,,0,43.09,53.86,2.37,-2.28,0.2,13.58,8.67,2.17,-2.8,77.68,5,9,13,53.85,0.18,38.46,-1.09,23.08,-2.72,23.08,-4.43,38.46,-5.52,NEGATIVE,11.16,NEGATIVE,No strong driver,"Trend, Momentum, Structure",-5.0,-1.17,134.38,139.8,148.22,HIGH,42914907.0,NOT_AVAILABLE,NOT_AVAILABLE,,29.39086294416244,82.03045685279187,2025.0,532.0,23.27925888324873,35.95613705583756,Bearish,True,WALK_FORWARD_VALIDATED,2023-08-24,2026-06-04,2026-06-05,2026-09-01,0.0017098198932490127,0.43333333333333335,0.005384714135634409,0.0040089259350070084,0.4666666666666667,0.021158803248246857,25
