POSITION_RANK,SYMBOL,DATA_DATE,CMP,BIAS,NEXT_DAY_SCORE,SWING_SCORE,TECH_SCORE,TECH_SCORE_100,ALIGNED,CONFIDENCE,RSI14,ATR14,ATR_PCT,ATR_PERCENTILE,EMA20,EMA50,EMA200,MACD_HIST,MACD_DELTA,VOL_RATIO20,VOL_PERCENTILE,VWAP20,VWAP_DIST_PCT,DAY_RANGE_PCT,RANGE20_POS,RET1,RET5,RET10,RET20,GAP_PCT,DELIVERY_PCT,PREV_HIGH,PREV_LOW,PREV_CLOSE,WEEK_HIGH,WEEK_LOW,UP_DAY_PCT_3Y,DOWN_DAY_PCT_3Y,AVG_UP_RETURN_3Y,AVG_DOWN_RETURN_3Y,AVG_GAP_PCT_3Y,UP_GAP_FREQ_3Y,DOWN_GAP_FREQ_3Y,AVG_UP_GAP_3Y,AVG_DOWN_GAP_3Y,AVG_GAP_FILL_PCT_3Y,MAX_UP_STREAK_3Y,MAX_DOWN_STREAK_3Y,SIMILAR_SETUPS,HIST_1D_WIN_PCT,HIST_1D_AVG_PCT,HIST_3D_WIN_PCT,HIST_3D_AVG_PCT,HIST_5D_WIN_PCT,HIST_5D_AVG_PCT,HIST_10D_WIN_PCT,HIST_10D_AVG_PCT,HIST_15D_WIN_PCT,HIST_15D_AVG_PCT,HIST_SETUP_QUALITY,HISTORICAL_SCORE,HISTORICAL_QUALITY,PRIMARY_DRIVER,CONFLICTING_SIGNAL,EXPECTED_LOW_PCT,EXPECTED_HIGH_PCT,EXPECTED_LOW_PRICE,EXPECTED_HIGH_PRICE,INVALIDATION,LEVERAGE_RISK,AVG_VALUE20,INTRADAY_STATUS,INTRADAY_BIAS,INTRADAY_SCORE,IN_NEXT_DAY,IN_SWING,OVERLAP,POSITION_SCORE,TRADE_MODE,POSITION_ACTION
1,SBISILVER,2026-08-28,236.12,Bullish,79.12,83.38,7,85,7/10,High,60.44,6.06,2.57,19.17,228.73,226.75,217.19,0.8683,-0.0865,1.24,80.83,228.91,3.15,2.69,0.816,1.79,-0.89,4.17,11.57,0.0,39.59,241.76,229.3,231.97,241.76,229.3,54.93,41.61,1.75,-1.8,0.49,27.74,11.13,2.53,-2.53,62.27,8,7,100,62.0,0.6,68.0,1.88,75.0,3.38,77.0,6.5,76.0,9.81,STRONG,88.2,STRONG,Trend + Momentum + Volume + Structure,None material,0.9,3.85,238.24,245.22,228.91,MODERATE,277653794.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,76.3,BOTH,LONG BIAS
2,SHREEJISPG,2026-08-28,652.5,Bullish,81.12,85.66,7,85,7/10,High,57.21,24.8,3.8,59.17,634.52,594.45,458.32,-3.3455,1.3202,0.81,45.83,636.34,2.54,3.84,0.689,1.9,5.15,-0.14,1.11,0.05,54.83,649.55,630.95,640.35,654.7,611.9,47.51,46.74,2.41,-1.6,0.36,21.07,7.66,1.96,-2.14,86.21,8,4,41,60.98,0.99,78.05,2.93,80.49,4.29,87.8,7.27,85.37,9.67,STRONG,93.9,STRONG,Trend + Momentum + Structure + VWAP,None material,1.33,5.7,661.18,689.69,630.95,HIGH,676745350.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,76.01,BOTH,LONG BIAS
3,MONOLITH,2026-08-28,1226.0,Bullish,81.6,83.14,8,90,8/10,High,85.48,52.89,4.31,19.17,1006.54,878.12,636.24,18.9216,4.6852,1.23,75.0,998.85,22.74,5.93,0.969,5.96,22.67,29.02,42.86,1.11,72.28,1169.9,1069.45,1157.0,1169.9,980.05,48.09,45.96,3.17,-1.94,0.37,28.94,13.19,2.45,-2.91,83.18,7,6,26,61.54,1.03,73.08,2.38,73.08,3.08,80.77,6.5,88.46,13.02,STRONG,88.85,STRONG,Trend + Momentum + Volume + Structure,None material,1.51,6.47,1244.51,1305.34,998.85,HIGH,61391611.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,74.13,BOTH,LONG BIAS
4,BLSE,2026-08-28,326.25,Bullish,78.55,78.71,8,90,8/10,High,66.23,11.74,3.6,17.5,310.57,285.9,227.71,-1.5535,0.621,1.18,76.67,315.27,3.48,5.06,0.932,3.88,1.67,3.82,8.51,-0.02,52.05,321.8,302.4,314.05,327.8,302.4,42.31,53.58,2.32,-1.79,0.29,19.63,9.59,1.96,-2.19,85.35,6,8,76,61.84,0.7,63.16,1.18,61.84,1.77,67.11,3.81,75.0,5.56,POSITIVE,80.13,STRONG,Trend + Momentum + Volume + Structure,None material,1.26,5.4,330.36,343.86,302.4,HIGH,170986010.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,69.71,BOTH,LONG BIAS
5,LIQUIDCASE,2026-08-28,115.7,Bullish,78.38,92.66,7,85,7/10,Medium,100.0,0.04,0.03,89.17,115.48,115.17,113.56,0.0002,0.0015,1.26,85.83,115.48,0.19,0.02,0.976,0.04,0.1,0.18,0.36,0.05,64.22,115.67,115.64,115.65,115.67,115.58,87.69,0.6,0.02,-0.01,0.49,17.57,2.1,2.69,-2.34,99.63,27,1,12,58.33,0.01,100.0,0.05,100.0,0.09,100.0,0.18,100.0,0.27,STRONG,86.08,STRONG,Trend + Momentum + Volume + Structure,None material,0.1,0.05,115.82,115.76,115.48,LOW,1874145376.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,80.33,BOTH,LONG BIAS
6,PETRONET,2026-08-28,292.0,Bullish,77.85,84.98,6,80,6/10,Medium,60.39,5.68,1.95,0.83,286.46,282.17,281.11,0.6612,-0.1389,0.6,35.0,286.17,2.04,0.96,0.798,0.36,-0.34,3.33,4.01,0.02,64.85,293.35,289.6,290.95,296.8,289.0,48.16,47.37,1.38,-1.32,0.11,6.45,6.32,1.81,-1.99,76.19,8,9,10,70.0,1.13,90.0,2.3,80.0,2.65,80.0,3.94,90.0,6.44,STRONG,91.0,STRONG,Trend + Momentum + VWAP + RSI,None material,0.68,2.92,293.99,300.52,286.17,LOW,554897828.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,79.1,BOTH,LONG BIAS
7,IRISDOREME,2026-08-28,58.7,Bullish,78.75,89.25,5,75,5/10,Medium,71.82,2.06,3.51,5.0,56.0,50.66,41.85,-0.3911,0.0255,0.28,2.5,57.01,2.96,1.69,0.797,1.33,2.98,1.33,10.84,0.76,54.0,58.18,56.66,57.93,60.2,54.23,46.45,48.95,1.93,-1.79,0.47,35.13,11.05,2.08,-2.98,95.52,10,9,11,72.73,0.95,81.82,2.64,100.0,4.23,100.0,10.28,100.0,16.53,STRONG,100.0,STRONG,Trend + Momentum + Structure + VWAP,None material,1.23,5.26,59.42,61.79,56.66,HIGH,85479357.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,77.9,BOTH,LONG BIAS
8,AAREYDRUGS,2026-08-28,89.01,Bullish,85.12,86.46,9,95,9/10,Medium,62.71,3.87,4.35,30.83,82.2,81.76,77.52,0.4056,0.4992,2.3,92.5,83.11,7.1,3.43,1.0,4.99,9.62,6.13,14.32,2.62,79.84,84.78,80.02,84.78,84.78,74.6,46.05,49.08,2.58,-2.17,0.33,34.87,25.92,2.68,-2.3,81.33,11,10,14,78.57,1.95,71.43,3.71,78.57,4.27,85.71,8.52,85.71,11.46,STRONG,92.5,STRONG,Trend + Momentum + Volume + Structure,None material,1.52,6.53,90.37,94.82,80.02,HIGH,13718934.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,77.1,BOTH,LONG BIAS
9,ATALREAL,2026-08-28,35.51,Bullish,78.67,83.33,6,80,6/10,Medium,65.01,1.32,3.73,16.67,34.08,32.41,27.78,-0.1119,0.0724,1.16,63.33,34.57,2.72,3.67,0.775,1.08,6.06,-1.72,7.05,0.63,18.49,36.14,34.6,35.13,36.14,32.71,47.63,46.32,2.24,-2.25,0.13,26.45,18.82,2.25,-2.91,83.39,8,9,12,66.67,0.73,66.67,1.55,83.33,2.71,83.33,5.03,83.33,4.84,STRONG,93.33,STRONG,Trend + Momentum + Volume + VWAP,None material,1.31,5.59,35.97,37.5,34.57,HIGH,404543790.0,NOT_AVAILABLE,NOT_AVAILABLE,,True,True,True,74.43,BOTH,LONG BIAS
10,BEL,2026-08-28,411.9,Bullish,76.86,74.61,7,85,7/10,High,55.27,6.67,1.62,0.83,407.92,408.83,410.71,0.7173,-0.071,0.79,45.0,405.34,1.62,1.13,0.857,0.22,-0.51,0.27,6.2,-0.04,59.19,412.9,408.0,411.0,415.95,405.55,49.87,45.53,1.55,-1.33,0.26,11.71,5.66,1.9,-2.05,76.22,9,8,100,58.0,0.36,68.0,1.17,68.0,1.64,71.0,2.88,68.0,3.83,STRONG,81.73,STRONG,Trend + Momentum + Structure + VWAP,None material,0.57,2.43,414.23,421.91,405.34,LOW,4109987877.0,NOT_AVAILABLE,NOT_AVAILABLE,,False,False,False,73.37,WATCH,WATCH
