SYMBOL,DATA_DATE,CMP,BIAS,NEXT_DAY_SCORE,SWING_SCORE,TECH_SCORE,TECH_SCORE_100,ALIGNED,CONFIDENCE,RSI14,ATR14,ATR_PCT,ATR_PERCENTILE,EMA20,EMA50,EMA200,MACD_HIST,MACD_DELTA,VOL_RATIO20,VOL_PERCENTILE,VWAP20,VWAP_DIST_PCT,DAY_RANGE_PCT,RANGE20_POS,RET1,RET5,RET10,RET20,GAP_PCT,DELIVERY_PCT,PREV_HIGH,PREV_LOW,PREV_CLOSE,WEEK_HIGH,WEEK_LOW,UP_DAY_PCT_3Y,DOWN_DAY_PCT_3Y,AVG_UP_RETURN_3Y,AVG_DOWN_RETURN_3Y,AVG_GAP_PCT_3Y,UP_GAP_FREQ_3Y,DOWN_GAP_FREQ_3Y,AVG_UP_GAP_3Y,AVG_DOWN_GAP_3Y,AVG_GAP_FILL_PCT_3Y,MAX_UP_STREAK_3Y,MAX_DOWN_STREAK_3Y,SIMILAR_SETUPS,HIST_1D_WIN_PCT,HIST_1D_AVG_PCT,HIST_3D_WIN_PCT,HIST_3D_AVG_PCT,HIST_5D_WIN_PCT,HIST_5D_AVG_PCT,HIST_10D_WIN_PCT,HIST_10D_AVG_PCT,HIST_15D_WIN_PCT,HIST_15D_AVG_PCT,HIST_SETUP_QUALITY,HISTORICAL_SCORE,HISTORICAL_QUALITY,PRIMARY_DRIVER,CONFLICTING_SIGNAL,EXPECTED_LOW_PCT,EXPECTED_HIGH_PCT,EXPECTED_LOW_PRICE,EXPECTED_HIGH_PRICE,INVALIDATION,LEVERAGE_RISK,AVG_VALUE20,INTRADAY_STATUS,INTRADAY_BIAS,INTRADAY_SCORE
LIQUIDCASE,2026-08-28,115.7,Bullish,78.38,92.66,7,85,7/10,Medium,100.0,0.04,0.03,89.17,115.48,115.17,113.56,0.0002,0.0015,1.26,85.83,115.48,0.19,0.02,0.976,0.04,0.1,0.18,0.36,0.05,64.22,115.67,115.64,115.65,115.67,115.58,87.69,0.6,0.02,-0.01,0.49,17.57,2.1,2.69,-2.34,99.63,27,1,12,58.33,0.01,100.0,0.05,100.0,0.09,100.0,0.18,100.0,0.27,STRONG,86.08,STRONG,Trend + Momentum + Volume + Structure,None material,0.1,0.05,115.82,115.76,115.48,LOW,1874145376.0,NOT_AVAILABLE,NOT_AVAILABLE,
IRISDOREME,2026-08-28,58.7,Bullish,78.75,89.25,5,75,5/10,Medium,71.82,2.06,3.51,5.0,56.0,50.66,41.85,-0.3911,0.0255,0.28,2.5,57.01,2.96,1.69,0.797,1.33,2.98,1.33,10.84,0.76,54.0,58.18,56.66,57.93,60.2,54.23,46.45,48.95,1.93,-1.79,0.47,35.13,11.05,2.08,-2.98,95.52,10,9,11,72.73,0.95,81.82,2.64,100.0,4.23,100.0,10.28,100.0,16.53,STRONG,100.0,STRONG,Trend + Momentum + Structure + VWAP,None material,1.23,5.26,59.42,61.79,56.66,HIGH,85479357.0,NOT_AVAILABLE,NOT_AVAILABLE,
AONELIQUID,2026-08-28,1074.76,Bullish,73.89,89.17,5,75,5/10,Medium,100.0,0.51,0.05,13.33,1072.76,1069.76,1055.38,0.0002,0.0097,0.48,31.67,1072.5,0.21,0.0,0.714,0.04,0.09,0.18,0.37,0.04,62.93,1074.34,1074.32,1074.32,1074.34,1073.75,94.48,0.28,0.02,-0.0,0.05,3.04,2.76,2.84,-2.8,99.73,82,1,13,92.31,0.01,100.0,0.04,100.0,0.09,100.0,0.19,100.0,0.28,STRONG,86.12,STRONG,Trend + Momentum + Structure + MACD,None material,0.1,0.07,1075.83,1075.52,1072.5,LOW,22656566.0,NOT_AVAILABLE,NOT_AVAILABLE,
GROWWLIQID,2026-08-28,110.55,Bullish,73.88,89.16,5,75,5/10,Medium,100.0,0.29,0.26,97.5,110.36,110.06,108.61,0.0002,0.0007,1.66,86.67,110.38,0.16,0.01,0.365,0.04,0.09,0.17,0.34,0.04,89.98,112.71,110.51,110.51,112.71,109.31,93.06,0.2,0.02,-0.01,0.05,4.49,2.86,2.14,-1.76,99.68,82,1,100,84.0,0.01,100.0,0.04,100.0,0.09,100.0,0.18,100.0,0.27,STRONG,86.08,STRONG,Trend + Momentum + Volume + MACD,None material,0.1,0.39,110.66,110.98,110.38,LOW,32816860.0,NOT_AVAILABLE,NOT_AVAILABLE,
LIQUID1,2026-08-28,1120.45,Bullish,71.71,87.45,4,70,4/10,Low,99.72,1.53,0.14,14.17,1118.36,1115.19,1099.49,-0.0015,0.0096,3.08,99.17,1118.75,0.15,0.0,0.567,0.04,0.09,0.19,0.37,0.04,90.2,1121.6,1119.85,1120.0,1124.0,1118.11,84.5,3.99,0.02,-0.0,0.07,2.08,0.16,2.51,-2.0,99.29,107,2,8,100.0,0.02,100.0,0.07,100.0,0.12,100.0,0.21,100.0,0.32,STRONG,86.32,STRONG,Trend + Volume + Delivery + Liquidity,None material,0.1,0.2,1121.57,1122.74,1118.75,LOW,1012088921.0,NOT_AVAILABLE,NOT_AVAILABLE,
LIQUIDBETF,2026-08-28,1096.75,Bullish,71.7,87.44,4,70,4/10,Low,100.0,0.25,0.02,2.5,1094.77,1091.79,1077.1,-0.0007,0.0094,0.49,15.0,1094.72,0.19,0.0,0.997,0.04,0.09,0.18,0.36,0.04,62.52,1096.33,1096.31,1096.32,1096.33,1095.77,80.77,4.72,0.03,-0.11,0.02,0.7,0.52,1.87,-2.64,85.19,82,2,37,97.3,0.02,100.0,0.06,100.0,0.11,100.0,0.21,100.0,0.31,STRONG,86.28,STRONG,Trend + Structure + Delivery + Liquidity,None material,0.1,0.03,1097.85,1097.12,1094.72,LOW,329244310.0,NOT_AVAILABLE,NOT_AVAILABLE,
LIQUIDADD,2026-08-28,1142.56,Bullish,71.66,87.42,4,70,4/10,Low,100.0,0.26,0.02,46.67,1140.47,1137.32,1121.58,-0.0008,0.0098,0.92,62.5,1140.61,0.17,0.02,0.948,0.04,0.09,0.18,0.36,0.04,65.61,1142.28,1142.1,1142.11,1142.28,1141.51,94.32,0.65,0.02,-0.0,0.06,1.95,0.32,2.88,-2.55,98.97,82,1,43,95.35,0.01,100.0,0.05,100.0,0.1,100.0,0.19,100.0,0.29,STRONG,86.16,STRONG,Trend + Structure + Delivery + Liquidity,None material,0.1,0.03,1143.7,1142.96,1140.61,LOW,535603077.0,NOT_AVAILABLE,NOT_AVAILABLE,
LIQUIDPLUS,2026-08-28,1101.1,Bullish,71.66,87.42,4,70,4/10,Low,100.0,0.78,0.07,27.5,1099.06,1095.98,1080.77,-0.0004,0.0106,0.27,10.83,1098.61,0.23,0.0,0.838,0.04,0.09,0.18,0.37,0.04,79.14,1101.9,1100.1,1100.65,1101.9,1100.07,94.96,0.22,0.02,-0.0,0.02,0.66,0.44,1.88,-2.01,99.71,83,1,27,92.59,0.02,100.0,0.06,100.0,0.1,100.0,0.19,100.0,0.29,STRONG,86.16,STRONG,Trend + Structure + Delivery + Liquidity,None material,0.1,0.11,1102.2,1102.28,1098.61,LOW,659064994.0,NOT_AVAILABLE,NOT_AVAILABLE,
SBILIQETF,2026-08-28,1053.9,Bullish,71.66,87.42,4,70,4/10,Low,100.0,0.32,0.03,1.67,1051.96,1049.02,1035.73,-0.004,0.0091,2.89,95.0,1052.64,0.12,0.0,0.995,0.04,0.09,0.18,0.36,0.04,54.19,1053.5,1053.48,1053.49,1053.5,1052.94,94.36,0.75,0.02,-0.03,0.04,0.75,0.75,3.74,-2.25,98.99,42,1,100,97.0,0.02,100.0,0.06,100.0,0.1,100.0,0.19,100.0,0.29,STRONG,86.16,STRONG,Trend + Volume + Structure + Delivery,None material,0.1,0.05,1054.95,1054.38,1052.64,LOW,74877363.0,NOT_AVAILABLE,NOT_AVAILABLE,
LIQUIDSHRI,2026-08-28,1119.42,Bullish,71.64,87.42,4,70,4/10,Low,99.4,0.22,0.02,60.0,1117.47,1114.52,1099.69,-0.002,0.0089,3.6,98.33,1117.86,0.14,0.0,0.995,0.04,0.09,0.17,0.35,0.04,80.23,1119.02,1119.0,1119.0,1119.02,1118.45,95.43,0.91,0.02,-0.0,0.04,0.55,0.0,3.0,,98.82,173,1,11,100.0,0.02,100.0,0.05,100.0,0.1,100.0,0.18,100.0,0.28,STRONG,86.12,STRONG,Trend + Volume + Structure + Delivery,None material,0.1,0.03,1120.54,1119.75,1117.86,LOW,6162196.0,NOT_AVAILABLE,NOT_AVAILABLE,
CASHIETF,2026-08-28,1077.45,Bullish,71.63,87.41,4,70,4/10,Low,100.0,0.98,0.09,66.67,1075.45,1072.43,1057.94,-0.0011,0.0099,0.37,5.83,1075.67,0.17,0.21,0.66,0.04,0.09,0.18,0.37,0.25,76.86,1077.02,1077.0,1077.01,1077.38,1076.45,95.38,0.54,0.02,-0.0,0.07,1.63,0.0,2.35,,98.99,115,1,11,100.0,0.02,100.0,0.05,100.0,0.09,100.0,0.18,100.0,0.27,STRONG,86.08,STRONG,Trend + Structure + Delivery + Liquidity,None material,0.1,0.14,1078.53,1078.92,1075.67,LOW,333121293.0,NOT_AVAILABLE,NOT_AVAILABLE,
AAREYDRUGS,2026-08-28,89.01,Bullish,85.12,86.46,9,95,9/10,Medium,62.71,3.87,4.35,30.83,82.2,81.76,77.52,0.4056,0.4992,2.3,92.5,83.11,7.1,3.43,1.0,4.99,9.62,6.13,14.32,2.62,79.84,84.78,80.02,84.78,84.78,74.6,46.05,49.08,2.58,-2.17,0.33,34.87,25.92,2.68,-2.3,81.33,11,10,14,78.57,1.95,71.43,3.71,78.57,4.27,85.71,8.52,85.71,11.46,STRONG,92.5,STRONG,Trend + Momentum + Volume + Structure,None material,1.52,6.53,90.37,94.82,80.02,HIGH,13718934.0,NOT_AVAILABLE,NOT_AVAILABLE,
